"13233,06"
"13752,41"
"13897,41"
"14337,92"
"14347,24"
"14463,87"
"14656,33"
"14951,64"
"15126,53"
"15439,28"
"15462,15"
"16116,63"
"16520,34"
"16648,71"
"16790,39"
"16752,6"
"17242,88"
"17532,21"
"17795,41"
"18154,54"
"18282,96"
"18571,79"
"18916,3"
"19138,09"
"19443,55"
"19684,63"
"20076,37"
"20368,75"
"21176,51"
"21367,75"
"21269,15"
"21548,13"
"21955,23"
"21971,18"
"22189,01"
"22285,62"
"22836,2"
"22858,2"
"23115,23"
"23245,38"
"23710,49"
"23925,77"
"24002,34"
"24203,17"
"24739,83"
"24606,54"
"25305,81"
"25242,17"
"25430,64"
"25370,74"
"25791,52"
"26083,83"
"26455,55"
"26417,13"
"26476,82"
"26516,3"
"27056,83"
"26653,07"
"26812,34"
"27159,44"
"27083,64"
"27257,32"
"27578,04"
"28156,23"
"28226,43"
"28314,75"
"28688,04"
"28773,37"
"28645,2"
"28800,82"
"29093,48"
"29388,83"
"29285,15"
"29446,04"
"29592,09"
"29461,19"
"29595,43"
"29826,3"
"29747,49"
"30176,83"
"30103,41"
"29938,76"
"30050,55"
"30423,16"
"30359,61"
"30657,99"
"30743,1"
"30764,39"
"30544,22"
"30951,93"
"30697,77"
"30800,52"
"31148,04"
"30699,6"
"30855,91"
"30845,71"
"30629,18"
"30750,86"
"30787,08"
"30543,5"
"13458,26"
"13729,09"
"14173,82"
"14401,05"
"14648,81"
"14906,11"
"15073,39"
"15455,31"
"15771,88"
"15707,88"
"15996,58"
"16072,84"
"16487,31"
"16604,27"
"16727,03"
"17022,61"
"17278,05"
"17700,29"
"17950,44"
"18124,81"
"18390,71"
"18773,21"
"19065,27"
"19438,74"
"19770,88"
"20192,44"
"20403,46"
"20788,02"
"20867,53"
"21347,13"
"21693,9"
"22140,03"
22371
"22514,05"
"22574,6"
"23060,57"
"23478,32"
"23664,17"
"24027,38"
"24374,73"
"24742,36"
"24942,88"
"25113,67"
"25083,68"
"25029,58"
"25043,43"
"25422,59"
"25748,35"
"25845,69"
"26365,55"
"26392,07"
"27028,21"
"27173,64"
"27248,36"
"27505,54"
"27675,61"
"27629,96"
"27987,4"
"28052,3"
"27943,14"
"28480,5"
"28555,11"
"28717,81"
"29072,94"
"29223,27"
"29603,76"
"29078,84"
"29416,42"
"29641,43"
"29934,98"
"29981,91"
"29490,14"
"30218,09"
"30239,88"
"30566,18"
"30491,5"
30613
"30681,58"
"30826,82"
"30854,14"
"31324,17"
"32189,25"
"31740,56"
"32043,96"
"31752,28"
"31827,24"
"32360,32"
"31887,28"
"31763,95"
"32373,24"
"32473,44"
"32516,29"
"32411,43"
"32838,5"
"32063,97"
"32420,56"
"32335,49"
"32291,4"
"32582,3"
"32648,8"
"12675,1"
"12886,24"
"13202,74"
"13367,38"
"13319,07"
"13419,21"
"13688,87"
"13964,39"
"14240,23"
"14134,17"
"14298,33"
"14425,7"
"14922,74"
"15311,2"
"15613,87"
"15929,15"
"16123,81"
"16364,25"
"16779,21"
"17063,55"
"16956,74"
"17477,59"
"17328,57"
"17780,27"
"17776,46"
"18308,81"
"18388,25"
"18452,91"
"18617,81"
"18974,36"
"19434,21"
"19827,3"
"19692,09"
"20069,2"
"20919,85"
"20992,89"
"20894,56"
"21114,89"
"21494,8"
"21802,83"
"21795,55"
"22080,68"
"22293,84"
"22549,36"
"22485,32"
"22840,57"
"23080,69"
"23667,11"
"23642,52"
"23247,44"
"23781,87"
"24170,76"
24346
"24298,48"
"24344,37"
"24638,82"
"24853,76"
"24647,94"
"24995,66"
"25109,92"
"25606,42"
"25588,67"
"25763,98"
"25935,11"
"26687,54"
"26392,74"
"26532,61"
"26869,89"
"27594,47"
"27468,78"
"27536,28"
"28002,78"
"27730,35"
"28075,01"
"28283,29"
"28559,82"
"29032,89"
"28797,9"
"28565,45"
"28847,95"
"28899,76"
"28978,57"
"28966,97"
"29080,71"
"28951,1"
"28866,24"
"28994,37"
"29053,68"
"29407,3"
"29697,72"
"30029,76"
"30478,5"
"30589,17"
"31429,54"
"30993,1"
"31224,95"
"32118,5"
"31644,89"
"32101,03"
"32329,13"

"24170,8592"
