120,01
101,54
93,16
84,53
89,10
95,76
70,60
83,31
82,41
83,00
76,35
77,72
75,47
83,09
36,52
76,08
74,73
84,58
73,56
87,37
71,77
77,86
72,02
81,06
82,62
67,32
75,65
81,80
71,09
82,75
80,77
94,23
84,31
73,94
83,45
90,25
73,65
77,59
75,97
96,34
89,20
84,68
77,19
88,63
90,15
107,05
90,34
82,31
81,32
86,53
124,88
120,50
117,27
84,52
90,73
105,55
88,76
82,97
90,66
92,45
80,08
85,43
79,36
89,90
73,09
73,22
88,38
97,26
89,65
81,64
70,64
82,01
91,37
94,74
88,37
79,66
77,87
104,61
98,89
85,29
76,86
76,66
80,00
81,59
79,33
80,20
104,49
72,35
78,10
71,59
75,97
84,68
94,91
86,31
98,02
76,53
85,21
90,45
68,83
51,15
130,12
103,76
106,04
80,14
118,06
84,69
75,89
82,75
79,65
79,05
82,74
76,03
83,94
98,27
82,04
100,69
84,65
75,53
78,90
88,06
84,63
84,39
80,19
83,56
78,54
83,56
92,24
78,92
76,25
77,05
83,17
95,34
86,70
90,23
77,62
105,38
94,02
91,38
93,30
90,19
93,27
88,03
87,63
113,26
128,34
102,37
110,83
83,06
84,64
85,25

86,25

86,2608542177
